case_id,version,section,size,mpi_ranks,omp_threads,iters,elapsed_s,fom,energy,status,run_completed,warn_openfabrics,local_host,num_processors_seen,num_threads_seen,report_dir
kc_omp_np1_t4_s20_i20_bindcore_20260504_065634,kc,omp,20,1,4,20,0.20,797.93733,1.297886e+06,PASS,yes,yes,node60,1,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-kc-cluster-bindcore-secomp-verkc-s20-i20-omp1-2-4-8-15-20260504_065634
kc_omp_np1_t8_s20_i20_bindcore_20260504_065634,kc,omp,20,1,8,20,0.24,659.88089,1.297886e+06,PASS,yes,yes,node60,1,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-kc-cluster-bindcore-secomp-verkc-s20-i20-omp1-2-4-8-15-20260504_065634
kc_omp_np1_t15_s20_i20_bindcore_20260504_065634,kc,omp,20,1,15,20,0.31,522.30913,1.297886e+06,PASS,yes,yes,node60,1,15,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-kc-cluster-bindcore-secomp-verkc-s20-i20-omp1-2-4-8-15-20260504_065634
kc_omp_np1_t20_s20_i20_bindcore_20260504_065653,kc,omp,20,1,20,20,0.36,443.00591,1.297886e+06,PASS,yes,yes,node60,1,20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-kc-cluster-bindcore-secomp-verkc-s20-i20-omp20-24-28-29-30-20260504_065653
kc_omp_np1_t24_s20_i20_bindcore_20260504_065653,kc,omp,20,1,24,20,0.32,494.28789,1.297886e+06,PASS,yes,yes,node60,1,24,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-kc-cluster-bindcore-secomp-verkc-s20-i20-omp20-24-28-29-30-20260504_065653
kc_omp_np1_t28_s20_i20_bindcore_20260504_065653,kc,omp,20,1,28,20,0.42,382.06765,1.297886e+06,PASS,yes,yes,node60,1,28,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-kc-cluster-bindcore-secomp-verkc-s20-i20-omp20-24-28-29-30-20260504_065653
kc_omp_np1_t29_s20_i20_bindcore_20260504_065653,kc,omp,20,1,29,20,0.43,375.99992,1.297886e+06,PASS,yes,yes,node60,1,29,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-kc-cluster-bindcore-secomp-verkc-s20-i20-omp20-24-28-29-30-20260504_065653
kc_omp_np1_t30_s20_i20_bindcore_20260504_065653,kc,omp,20,1,30,20,0.45,358.27526,1.297886e+06,PASS,yes,yes,node60,1,30,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b2-kc-cluster-bindcore-secomp-verkc-s20-i20-omp20-24-28-29-30-20260504_065653
kc_omp_np1_t31_s20_i20_bindcore_20260504_065705,kc,omp,20,1,31,20,0.45,358.33223,1.297886e+06,PASS,yes,yes,node60,1,31,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b3-kc-cluster-bindcore-secomp-verkc-s20-i20-omp31-32-36-40-20260504_065705
kc_omp_np1_t32_s20_i20_bindcore_20260504_065705,kc,omp,20,1,32,20,0.47,340.66617,1.297886e+06,PASS,yes,yes,node60,1,32,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b3-kc-cluster-bindcore-secomp-verkc-s20-i20-omp31-32-36-40-20260504_065705
