Version,Size,Threads,Run,FOM,Time
Kokkos-OpenMP,30,16,9,10951.348,0.25
Kokkos-OpenMP,30,16,10,11218.541,0.24
Kokkos-OpenMP,30,32,1,5442.2866,0.5
Kokkos-OpenMP,30,32,2,8644.3429,0.31
Kokkos-OpenMP,30,32,3,8804.6828,0.31
Kokkos-OpenMP,30,32,4,8706.1949,0.31
Kokkos-OpenMP,30,32,5,8421.2628,0.32
Kokkos-OpenMP,30,32,6,8695.7362,0.31
Kokkos-OpenMP,30,32,7,8807.5262,0.31
Kokkos-OpenMP,30,32,8,8818.8606,0.31
Kokkos-OpenMP,30,32,9,8902.6055,0.3
Kokkos-OpenMP,30,32,10,7780.7108,0.35
Kokkos-OpenMP,45,1,1,2008.7851,4.54
Kokkos-OpenMP,45,1,2,2040.2255,4.47
Kokkos-OpenMP,45,1,3,1962.1033,4.64
Kokkos-OpenMP,45,1,4,2037.5718,4.47
Kokkos-OpenMP,45,1,5,2043.5482,4.46
Kokkos-OpenMP,45,1,6,2008.9051,4.54
Kokkos-OpenMP,45,1,7,2056.6472,4.43
Kokkos-OpenMP,45,1,8,2066.6658,4.41
Kokkos-OpenMP,45,1,9,2019.0733,4.51
Kokkos-OpenMP,45,1,10,2034.4035,4.48
Kokkos-OpenMP,45,2,1,3614.3503,2.52
Kokkos-OpenMP,45,2,2,3610.2663,2.52
Kokkos-OpenMP,45,2,3,3631.5762,2.51
Kokkos-OpenMP,45,2,4,3616.0183,2.52
Kokkos-OpenMP,45,2,5,3636.7678,2.51
Kokkos-OpenMP,45,2,6,3640.8814,2.5
Kokkos-OpenMP,45,2,7,3581.1017,2.54
Kokkos-OpenMP,45,2,8,3626.6824,2.51
Kokkos-OpenMP,45,2,9,3628.0902,2.51
Kokkos-OpenMP,45,2,10,3644.6793,2.5
Kokkos-OpenMP,45,4,1,6379.721,1.43
Kokkos-OpenMP,45,4,2,6409.4358,1.42
Kokkos-OpenMP,45,4,3,6403.8325,1.42
Kokkos-OpenMP,45,4,4,6340.0919,1.44
Kokkos-OpenMP,45,4,5,6419.0301,1.42
Kokkos-OpenMP,45,4,6,6426.7398,1.42
Kokkos-OpenMP,45,4,7,6376.4264,1.43
Kokkos-OpenMP,45,4,8,6385.9131,1.43
Kokkos-OpenMP,45,4,9,6368.4675,1.43
Kokkos-OpenMP,45,4,10,6374.5619,1.43
Kokkos-OpenMP,45,8,1,10029.298,0.91
Kokkos-OpenMP,45,8,2,10015.684,0.91
Kokkos-OpenMP,45,8,3,9905.1282,0.92
Kokkos-OpenMP,45,8,4,10021.798,0.91
Kokkos-OpenMP,45,8,5,10006.929,0.91
Kokkos-OpenMP,45,8,6,9939.3549,0.92
Kokkos-OpenMP,45,8,7,9985.0539,0.91
Kokkos-OpenMP,45,8,8,9825.5394,0.93
Kokkos-OpenMP,45,8,9,9943.6174,0.92
Kokkos-OpenMP,45,8,10,10035.472,0.91
Kokkos-OpenMP,45,16,1,12559.178,0.73
Kokkos-OpenMP,45,16,2,12727.026,0.72
Kokkos-OpenMP,45,16,3,12569.607,0.72
Kokkos-OpenMP,45,16,4,12555.561,0.73
Kokkos-OpenMP,45,16,5,12770.117,0.71
Kokkos-OpenMP,45,16,6,12584.397,0.72
Kokkos-OpenMP,45,16,7,12615.565,0.72
Kokkos-OpenMP,45,16,8,12747.109,0.71
Kokkos-OpenMP,45,16,9,12518.752,0.73
Kokkos-OpenMP,45,16,10,12628.852,0.72
Kokkos-OpenMP,45,32,1,10449.252,0.87
Kokkos-OpenMP,45,32,2,10264.992,0.89
Kokkos-OpenMP,45,32,3,10453.207,0.87
Kokkos-OpenMP,45,32,4,9633.7331,0.95
Kokkos-OpenMP,45,32,5,10527.088,0.87
Kokkos-OpenMP,45,32,6,10362.992,0.88
Kokkos-OpenMP,45,32,7,10502.579,0.87
Kokkos-OpenMP,45,32,8,10440.56,0.87
Kokkos-OpenMP,45,32,9,10612.75,0.86
Kokkos-OpenMP,45,32,10,10060.579,0.91
Kokkos-OpenMP,60,1,1,2041.9731,10.58
Kokkos-OpenMP,60,1,2,2094.0303,10.32
Kokkos-OpenMP,60,1,3,2023.4808,10.67
Kokkos-OpenMP,60,1,4,2024.8354,10.67
Kokkos-OpenMP,60,1,5,2102.5327,10.27
Kokkos-OpenMP,60,1,6,2107.9797,10.25
Kokkos-OpenMP,60,1,7,2074.3276,10.41
Kokkos-OpenMP,60,1,8,2103.2489,10.27
Kokkos-OpenMP,60,1,9,2021.2624,10.69
Kokkos-OpenMP,60,1,10,2040.9837,10.58
Kokkos-OpenMP,60,2,1,3519.1464,6.14
Kokkos-OpenMP,60,2,2,3505.7855,6.16
Kokkos-OpenMP,60,2,3,3517.6569,6.14
Kokkos-OpenMP,60,2,4,3527.4838,6.12
Kokkos-OpenMP,60,2,5,3495.545,6.18
Kokkos-OpenMP,60,2,6,3487.3735,6.19
Kokkos-OpenMP,60,2,7,3480.5089,6.21
Kokkos-OpenMP,60,2,8,3504.3397,6.16
Kokkos-OpenMP,60,2,9,3517.3121,6.14
Kokkos-OpenMP,60,2,10,3462.5112,6.24
Kokkos-OpenMP,60,4,1,5769.9736,3.74
Kokkos-OpenMP,60,4,2,5819.3731,3.71
Kokkos-OpenMP,60,4,3,5702.1498,3.79
Kokkos-OpenMP,60,4,4,5799.4486,3.72
Kokkos-OpenMP,60,4,5,5695.4365,3.79
Kokkos-OpenMP,60,4,6,5799.4798,3.72
Kokkos-OpenMP,60,4,7,5777.3274,3.74
Kokkos-OpenMP,60,4,8,5801.2305,3.72
Kokkos-OpenMP,60,4,9,5803.9179,3.72
Kokkos-OpenMP,60,4,10,5806.3892,3.72
Kokkos-OpenMP,60,8,1,8230.6408,2.62
Kokkos-OpenMP,60,8,2,8287.5281,2.61
Kokkos-OpenMP,60,8,3,8200.5085,2.63
Kokkos-OpenMP,60,8,4,8218.0117,2.63
Kokkos-OpenMP,60,8,5,8266.2087,2.61
Kokkos-OpenMP,60,8,6,8123.3638,2.66
Kokkos-OpenMP,60,8,7,8206.3938,2.63
Kokkos-OpenMP,60,8,8,8245.1591,2.62
Kokkos-OpenMP,60,8,9,8307.5933,2.6
Kokkos-OpenMP,60,8,10,8211.6039,2.63
Kokkos-OpenMP,60,16,1,10526.531,2.05
Kokkos-OpenMP,60,16,2,10564.693,2.04
Kokkos-OpenMP,60,16,3,10544.64,2.05
Kokkos-OpenMP,60,16,4,10461.654,2.06
Kokkos-OpenMP,60,16,5,10392.89,2.08
Kokkos-OpenMP,60,16,6,10457.683,2.07
Kokkos-OpenMP,60,16,7,10468.322,2.06
Kokkos-OpenMP,60,16,8,10531.849,2.05
Kokkos-OpenMP,60,16,9,10442.814,2.07
Kokkos-OpenMP,60,16,10,10691.0,2.02
Kokkos-OpenMP,60,32,1,9223.3551,2.34
Kokkos-OpenMP,60,32,2,9326.437,2.32
Kokkos-OpenMP,60,32,3,9173.8366,2.35
Kokkos-OpenMP,60,32,4,9281.6318,2.33
Kokkos-OpenMP,60,32,5,9152.5113,2.36
Kokkos-OpenMP,60,32,6,9350.0543,2.31
Kokkos-OpenMP,60,32,7,9261.4468,2.33
Kokkos-OpenMP,60,32,8,9429.1192,2.29
Kokkos-OpenMP,60,32,9,9198.5468,2.35
Kokkos-OpenMP,60,32,10,9285.554,2.33
Kokkos-OpenMP,90,1,1,1962.6807,37.14
Kokkos-OpenMP,90,1,2,1991.4011,36.61
Kokkos-OpenMP,90,1,3,1983.4572,36.75
Kokkos-OpenMP,90,1,4,1906.5928,38.24
Kokkos-OpenMP,90,1,5,1974.0008,36.93
Kokkos-OpenMP,90,1,6,1946.3602,37.45
Kokkos-OpenMP,90,1,7,2004.1435,36.37
Kokkos-OpenMP,90,1,8,1933.2424,37.71
Kokkos-OpenMP,90,1,9,2030.512,35.9
Kokkos-OpenMP,90,1,10,1984.9037,36.73
Kokkos-OpenMP,90,2,1,3531.6344,20.64
Kokkos-OpenMP,90,2,2,3541.3029,20.59
Kokkos-OpenMP,90,2,3,3539.9136,20.59
Kokkos-OpenMP,90,2,4,3518.6882,20.72
Kokkos-OpenMP,90,2,5,3550.9241,20.53
Kokkos-OpenMP,90,2,6,3525.4381,20.68
Kokkos-OpenMP,90,2,7,3551.7025,20.53
Kokkos-OpenMP,90,2,8,3542.9737,20.58
Kokkos-OpenMP,90,2,9,3520.0395,20.71
Kokkos-OpenMP,90,2,10,3527.5203,20.67
Kokkos-OpenMP,90,4,1,5849.566,12.46
Kokkos-OpenMP,90,4,2,5844.0411,12.47
Kokkos-OpenMP,90,4,3,5911.5367,12.33
Kokkos-OpenMP,90,4,4,5919.1214,12.32
Kokkos-OpenMP,90,4,5,5935.0075,12.28
Kokkos-OpenMP,90,4,6,5889.1369,12.38
Kokkos-OpenMP,90,4,7,5922.4226,12.31
Kokkos-OpenMP,90,4,8,5929.661,12.29
Kokkos-OpenMP,90,4,9,5820.3263,12.53
Kokkos-OpenMP,90,4,10,5897.4666,12.36
Kokkos-OpenMP,90,8,1,8096.3872,9.0
Kokkos-OpenMP,90,8,2,8095.9988,9.0
Kokkos-OpenMP,90,8,3,8144.1358,8.95
Kokkos-OpenMP,90,8,4,8114.7942,8.98
Kokkos-OpenMP,90,8,5,8179.6425,8.91
Kokkos-OpenMP,90,8,6,8132.4539,8.96
Kokkos-OpenMP,90,8,7,7992.1486,9.12
Kokkos-OpenMP,90,8,8,8113.4395,8.99
Kokkos-OpenMP,90,8,9,8149.6012,8.95
Kokkos-OpenMP,90,8,10,8119.3213,8.98
Kokkos-OpenMP,90,16,1,9189.0737,7.93
Kokkos-OpenMP,90,16,2,9204.9023,7.92
Kokkos-OpenMP,90,16,3,9207.3693,7.92
Kokkos-OpenMP,90,16,4,9217.2949,7.91
Kokkos-OpenMP,90,16,5,9170.6534,7.95
Kokkos-OpenMP,90,16,6,9197.8387,7.93
Kokkos-OpenMP,90,16,7,9200.785,7.92
Kokkos-OpenMP,90,16,8,9208.9046,7.92
Kokkos-OpenMP,90,16,9,9199.3139,7.92
Kokkos-OpenMP,90,16,10,9230.7423,7.9
Kokkos-OpenMP,90,32,1,7998.241,9.11
Kokkos-OpenMP,90,32,2,8152.8075,8.94
Kokkos-OpenMP,90,32,3,8021.2492,9.09
Kokkos-OpenMP,90,32,4,7953.6623,9.17
Kokkos-OpenMP,90,32,5,8016.6068,9.09
Kokkos-OpenMP,90,32,6,7993.407,9.12
Kokkos-OpenMP,90,32,7,7988.6839,9.13
Kokkos-OpenMP,90,32,8,7999.1705,9.11
Kokkos-OpenMP,90,32,9,7963.2619,9.15
Kokkos-OpenMP,90,32,10,7979.1146,9.14
